frame,seconds,card_rows,paper_pixels,card_area,paper_fraction,suspect
0,0.0,753,314,668664,0.0004695930990751708,False
1,0.040578,753,313,668664,0.0004680975796513645,False
2,0.138467,753,310,668664,0.00046361102137994567,False
3,0.154756,1137,3823,1009656,0.0037864381531927706,False
4,0.183311,1137,2906,1009656,0.002878208023326757,False
5,0.221033,1137,2675,1009656,0.002649417227253639,False
6,0.237789,1137,2490,1009656,0.002466186503125817,False
7,0.287578,1137,2476,1009656,0.002452320394272901,False
8,0.304389,1137,2462,1009656,0.0024384542854199846,False
9,0.321356,1150,2483,1021200,0.0024314531923227576,False
10,0.337411,1164,2474,1033632,0.0023935017491718523,False
11,0.354189,1164,2401,1033632,0.002322877000712052,False
12,0.371322,1164,2360,1033632,0.002283211046097644,False
13,0.387344,1162,2286,1031856,0.0022154254081964927,False
14,0.404578,1165,2296,1034520,0.002219386768742992,False
15,0.421144,1165,2204,1034520,0.002130456636894405,False
16,0.4378,1165,2213,1034520,0.00213915632370568,False
17,0.455233,1165,923,1034520,0.0008922012140896261,False
18,0.470722,1167,897,1036296,0.0008655828064568424,False
19,0.487489,1167,895,1036296,0.0008636528559407737,False
20,0.5041,1167,868,1036296,0.0008375985239738453,False
21,0.520744,1167,800,1036296,0.0007719802064275072,False
22,0.537822,1167,803,1036296,0.0007748751322016104,False
23,0.554189,1167,791,1036296,0.0007632954291051978,False
24,0.571211,1167,781,1036296,0.0007536456765248539,False
25,0.587833,1167,738,1036296,0.0007121517404293754,False
26,0.604622,1167,710,1036296,0.0006851324332044126,False
27,0.620889,1165,693,1034520,0.0006698758844681592,False
28,0.637444,1165,2592,1034520,0.0025055098016471405,False
29,0.654467,1165,2656,1034520,0.0025673742411939835,False
30,0.671711,1166,2589,1035408,0.0025004635853692458,False
31,0.771711,1166,2518,1035408,0.002431891582834979,False
32,0.788722,1166,2501,1035408,0.0024154729343408587,False
33,0.888722,1166,2430,1035408,0.0023469009318065922,False
34,0.988722,1166,2408,1035408,0.0023256532690494954,False
35,1.088722,1168,2364,1037184,0.0022792484265087005,False
36,1.188722,1168,2331,1037184,0.002247431506849315,False
37,1.288722,1168,2329,1037184,0.0022455032086881404,False
38,1.388722,1168,2331,1037184,0.002247431506849315,False
39,1.488722,1168,2321,1037184,0.002237790016043441,False
40,1.588722,1168,2262,1037184,0.002180905220288782,False
41,1.688722,1167,2268,1036296,0.002188563885221983,False
42,1.788722,1168,2255,1037184,0.00217415617672467,False
43,2.497467,1179,2157,1046952,0.0020602663732434724,False
44,2.5112,1179,2139,1046952,0.0020430736079591044,False
45,2.527533,1180,2124,1047840,0.002027027027027027,False
46,2.538367,1190,1822,1056720,0.00172420319479143,False
47,2.554111,1201,1753,1066488,0.0016437128218976678,False
48,2.570789,1201,1751,1066488,0.0016418375077825536,False
49,2.587389,1210,1728,1074480,0.0016082197900379718,False
50,2.604267,1223,1741,1086024,0.001603095327543406,False
51,2.6207,1227,1730,1089576,0.0015877735926635682,False
52,2.637578,1227,1718,1089576,0.0015767601342173468,False
53,2.654489,1217,1710,1080696,0.0015823136201114838,False
54,2.670911,1208,1729,1072704,0.0016118146291987353,False
55,2.688178,1196,1733,1062048,0.0016317529904486426,False
56,2.737778,1187,1742,1054056,0.0016526636155953763,False
57,2.754211,1175,1744,1043400,0.0016714586927352884,False
58,2.770978,1176,1700,1044288,0.0016279034136176993,False
59,2.787522,1176,1696,1044288,0.0016240730526444812,False
60,2.804111,1176,1720,1044288,0.00164705521848379,False
61,2.820744,1174,1740,1042512,0.0016690455361664902,False
62,2.838289,1174,1779,1042512,0.0017064551774943599,False
63,2.854444,1174,1794,1042512,0.001720843501082002,False
64,2.871333,1173,1829,1041624,0.0017559119221523315,False
65,2.887233,1174,1822,1042512,0.0017477017051122673,False
66,2.904278,1177,1849,1045176,0.0017690800401080776,False
67,2.921056,1175,1868,1043400,0.0017903009392371094,False
68,2.937489,1175,1874,1043400,0.0017960513705194557,False
69,2.954567,1177,1864,1045176,0.0017834316899737461,False
70,2.970711,1173,1900,1041624,0.0018240747141002895,False
