frame,seconds,card_rows,paper_pixels,card_area,paper_fraction,suspect
0,0.0,1160,312,1030080,0.00030288909599254424,False
1,0.107489,1160,303,1030080,0.0002941519105312209,False
2,0.207489,1160,304,1030080,0.0002951227089158124,False
3,0.307489,1166,277,1035408,0.0002675273901688996,False
4,0.407489,1166,233,1035408,0.00022503206465470616,False
5,0.507489,1166,179,1035408,0.00017287871061455966,False
6,0.607489,1166,161,1035408,0.00015549425926784417,False
7,0.707489,1166,140,1035408,0.00013521239936334275,False
8,0.807489,1167,139,1036296,0.00013413156086677938,False
9,0.907489,1167,122,1036296,0.00011772698148019485,False
10,1.007489,1159,111,1029192,0.00010785159620362382,False
11,1.107489,1159,102,1029192,9.910687218711377e-05,False
12,1.615444,1158,105,1028304,0.00010210988190262801,False
13,1.715444,1160,80,1030080,7.766387076731904e-05,False
14,1.731756,1159,87,1029192,8.453233215959704e-05,False
15,1.831756,1159,86,1029192,8.35606961577626e-05,False
16,1.883956,14,9768,12432,0.7857142857142857,True
17,1.900356,1155,1639,1025640,0.001598026598026598,False
18,1.915167,1176,943,1044288,0.0009030075994361709,False
19,1.932856,1176,897,1044288,0.0008589584482441625,False
20,1.945678,58,28416,51504,0.5517241379310345,True
21,1.962522,1211,2060,1075368,0.0019156233029065399,False
22,1.978278,1216,1266,1079808,0.001172430654338549,False
23,1.995267,1221,1290,1084248,0.0011897647032782168,False
24,2.012011,102,26574,90576,0.2933889772125066,True
25,2.029089,1210,3131,1074480,0.0029139676866949595,False
26,2.045022,1199,2243,1064712,0.002106672978232611,False
27,2.061356,1190,1025,1056720,0.0009699825876296464,False
28,2.079444,60,27950,53280,0.5245870870870871,True
29,2.162922,1159,4489,1029192,0.00436167401223484,False
30,2.179144,1159,2329,1029192,0.002262940248272431,False
31,2.195722,1162,1364,1031856,0.0013218898761067435,False
32,2.212756,160,20070,142080,0.14125844594594594,True
33,2.229567,1162,1448,1031856,0.0014032965840194756,False
34,2.245944,1164,1505,1033632,0.0014560307730410824,False
35,2.262222,1164,1361,1033632,0.0013167162007368192,False
36,2.279811,89,29870,79032,0.3779481728919931,True
37,2.295611,1177,3200,1045176,0.0030616853046759587,False
38,2.312611,1178,1351,1046064,0.0012915079765673993,False
39,2.329189,1178,1362,1046064,0.0013020235855549947,False
40,2.345989,90,28208,79920,0.3529529529529529,True
41,2.362233,1174,2543,1042512,0.0024393004588916,False
42,2.379022,1175,1542,1043400,0.0014778608395629672,False
43,2.396033,1172,1185,1040736,0.0011386172862282078,False
44,2.411678,107,24184,95016,0.2545255535909742,True
45,2.428611,1162,4958,1031856,0.0048049340218014915,False
46,2.445589,1154,3101,1024752,0.0030260980217652663,False
47,2.464311,1144,1314,1015872,0.0012934700434700434,False
48,2.4792,111,32616,98568,0.3308984660336012,True
49,2.495744,1121,7315,995448,0.007348450145060315,False
50,2.511578,1109,3552,984792,0.0036068530207394047,False
51,2.528333,1099,1871,975912,0.0019171810573084458,False
52,2.5455,117,34965,103896,0.33653846153846156,True
53,2.561822,1081,4415,959928,0.004599303281079414,False
54,2.579333,1082,3225,960816,0.0033565219563371136,False
55,2.595378,1081,2071,959928,0.0021574534756773423,False
56,2.612622,98,26889,87024,0.3089837286265858,True
57,2.628844,1082,8724,960816,0.009079782185142628,False
58,2.645311,1085,5707,963480,0.005923319632997052,False
59,2.661567,1096,2640,973248,0.00271256658117972,False
60,2.680233,115,15600,102120,0.15276145710928318,True
61,2.695656,1117,6314,991896,0.006365586714736222,False
62,2.713067,1129,4356,1002552,0.004344911785124363,False
63,2.729833,1141,2722,1013208,0.002686516490197472,False
64,2.745689,144,27806,127872,0.21745182682682682,True
65,2.763011,1160,10247,1030080,0.009947771046908978,False
66,2.779433,1170,5394,1038960,0.005191730191730192,False
67,2.796478,1180,3341,1047840,0.00318846388761643,False
68,2.812889,172,48177,152736,0.31542661847894404,True
69,2.829156,1197,12338,1062936,0.011607472133787924,True
70,2.845689,1199,8453,1064712,0.007939236150245325,False
71,2.8623,1197,4825,1062936,0.004539313749840066,False
72,2.879078,119,43182,105672,0.40864183511242336,True
73,2.895822,1199,9490,1064712,0.008913208454492859,False
74,2.912367,1200,7242,1065600,0.006796171171171171,False
75,2.929022,1201,5021,1066488,0.004707976085994404,False
76,2.946467,90,28027,79920,0.3506881881881882,True
77,2.962789,1199,12526,1064712,0.011764683783032408,True
78,2.978556,1198,7018,1063824,0.0065969558874400275,False
79,2.995733,1201,4624,1066488,0.0043357262341442195,False
80,3.012667,103,9323,91464,0.10193081430945508,True
81,3.029722,1198,8041,1063824,0.007558581118681285,False
82,3.046344,1199,6055,1064712,0.005686983897993072,False
83,3.062956,1199,4401,1064712,0.0041335121610350965,False
84,3.079422,118,27808,104784,0.2653840280958925,True
85,3.095867,1200,11735,1065600,0.011012575075075075,True
86,3.112611,1201,8303,1066488,0.00778536654889694,False
87,3.129911,1201,7448,1066488,0.0069836697646855845,False
88,3.148678,106,33666,94128,0.35766190719020907,True
89,3.162922,1202,10022,1067376,0.00938938106159404,False
90,3.1792,1201,7937,1066488,0.0074421840658310265,False
91,3.195878,1201,5230,1066488,0.004903946411023846,False
92,3.211944,96,26868,85248,0.31517454954954954,True
93,3.229067,1202,15993,1067376,0.014983473490129065,True
94,3.245478,1201,10300,1066488,0.009657867692838551,False
95,3.262167,1203,5689,1068264,0.0053254626197269585,False
96,3.280044,89,15599,79032,0.1973757465330499,True
97,3.295344,1202,14011,1067376,0.01312658332209081,True
98,3.312722,1202,9495,1067376,0.008895646894814948,False
99,3.329067,1201,6264,1066488,0.00587348380853793,False
100,3.346033,102,10634,90576,0.1174041688747571,True
101,3.363767,1200,13256,1065600,0.01243993993993994,True
102,3.379167,1200,8718,1065600,0.008181306306306306,False
103,3.395644,1202,5687,1067376,0.005328019367120865,False
104,3.413822,114,30398,101232,0.30028054370159635,True
105,3.429256,1199,16057,1064712,0.015081073567312099,True
106,3.446111,1200,12053,1065600,0.011310998498498499,True
107,3.462667,1200,7292,1065600,0.006843093093093093,False
108,3.483022,105,30664,93240,0.3288717288717289,True
109,3.495867,1200,16905,1065600,0.015864301801801803,True
110,3.512456,1200,10513,1065600,0.009865803303303304,False
111,3.528878,1201,6697,1066488,0.006279489314460172,False
112,3.547356,87,29491,77256,0.3817308687998343,True
113,3.562589,1199,18214,1064712,0.01710697352899188,True
114,3.5796,1198,10635,1063824,0.009996954383431846,False
115,3.5959,1199,7822,1064712,0.00734658762181698,False
