frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
0,0.0,142,0.0,0.0,False
1,0.071633,142,0.0,0.0,False
2,0.171633,142,0.0,0.0,False
3,0.181467,142,0.0,0.0,False
4,0.281467,142,0.0,0.0,False
5,0.381467,142,0.0,0.0,False
6,0.481467,142,0.0,0.0,False
7,0.581467,142,0.0,0.0,False
8,0.681467,142,0.0,0.0,False
9,0.781467,142,0.0,0.0,False
10,0.881467,142,0.0,0.0,False
11,0.981467,142,0.0,0.0,False
12,1.081467,142,0.0,0.0,False
13,1.181467,142,0.0,0.0,False
14,2.317411,142,0.0,0.0,False
15,2.331556,142,0.0,0.0,False
16,2.349589,142,0.0,0.0,False
17,2.365789,132,0.0,0.0,False
18,2.381789,120,0.0,0.0,False
19,2.3987,55,0.7156862745098039,0.8552152919182177,True
20,2.415656,110,0.0,0.0,False
21,2.431778,98,0.0,0.0,False
22,2.449133,88,0.0,0.0,False
23,2.465578,25,0.6508333333333334,0.8407835421054577,True
24,2.482778,76,0.0,0.0,False
25,2.499144,66,0.0,0.0,False
26,2.516189,54,0.0,0.0,False
27,2.533056,42,0.501439393939394,0.8831460674157303,True
28,2.549333,32,0.0,0.0,False
29,2.565489,20,0.0,0.0,False
30,2.5824,10,0.0,0.0,False
31,2.597956,304,0.4859595959595959,0.8558246828143021,True
32,2.614889,294,0.0,0.0,False
33,2.631489,284,0.0,0.0,False
34,2.647867,272,0.0,0.0,False
35,2.664767,262,0.5010025062656642,0.8460686600221484,True
36,2.6813,250,0.0,0.0,False
37,2.697889,238,0.0,0.0,False
38,2.7144,226,0.0,0.0,False
39,2.7319,214,0.43123042505592846,0.8363494001786461,True
40,2.748044,204,0.0,0.0,False
41,2.764544,194,0.0,0.0,False
42,2.7814,182,0.0,0.0,False
43,2.797911,123,0.4957983193277311,0.8033084335466005,True
44,2.814578,160,0.0,0.0,False
45,2.831122,148,0.0,0.0,False
46,2.847822,138,0.0,0.0,False
47,2.864633,83,0.4954128440366973,0.799140708915145,True
48,2.881289,116,0.0,0.0,False
49,2.898233,104,0.0,0.0,False
50,2.914611,94,0.0,0.0,False
51,2.931322,39,0.46520202020202017,0.7608708828841935,True
52,2.948189,70,0.0,0.0,False
53,2.964922,60,0.0,0.0,False
54,2.981644,48,0.0,0.0,False
55,2.998333,36,0.4760606060606061,0.8552036199095022,True
56,3.014878,28,0.0,0.0,False
57,3.031656,16,0.0,0.0,False
58,3.048244,6,0.0,0.0,False
59,3.065044,300,0.501969696969697,0.8558246828143021,True
60,3.081367,290,0.0,0.0,False
61,3.098233,276,0.0,0.0,False
62,3.1149,270,0.0,0.0,False
63,3.131178,254,0.45179361179361177,0.8386388583973655,True
64,3.148289,244,0.0,0.0,False
65,3.164378,232,0.0,0.0,False
66,3.181189,222,0.0,0.0,False
67,3.198622,210,0.4235033259423503,0.8502617801047121,True
68,3.214356,198,0.0,0.0,False
69,3.231122,188,0.0,0.0,False
70,3.247978,176,0.0,0.0,False
71,3.264989,123,0.44432773109243695,0.7808511707366094,True
72,3.281256,154,0.0,0.0,False
73,3.297944,144,0.0,0.0,False
74,3.315022,132,0.0,0.0,False
75,3.3311,75,0.4835514018691589,0.7930660888407367,True
76,3.347878,110,0.0,0.0,False
77,3.364933,98,0.0,0.0,False
78,3.382044,88,0.0,0.0,False
79,3.399789,35,0.5087373737373737,0.8046249954334563,True
80,3.415844,67,0.0,0.0,False
81,3.432789,56,0.0,0.0,False
