frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
0,0.0,142,0.0,0.0,False
1,0.1,142,0.0,0.0,False
2,0.109711,142,0.0,0.0,False
3,0.209711,142,0.0,0.0,False
4,0.309711,142,0.0,0.0,False
5,0.409711,142,0.0,0.0,False
6,0.509711,142,0.0,0.0,False
7,0.609711,142,0.0,0.0,False
8,0.709711,142,0.0,0.0,False
9,0.809711,142,0.0,0.0,False
10,0.909711,142,0.0,0.0,False
11,1.009711,142,0.0,0.0,False
12,1.070322,142,0.0,0.0,False
13,1.170322,142,0.0,0.0,False
14,1.187078,142,0.0,0.0,False
15,1.286989,142,0.0,0.0,False
16,1.386989,142,0.0,0.0,False
17,1.402722,142,0.0,0.0,False
18,1.502722,142,0.0,0.0,False
19,1.602722,142,0.0,0.0,False
20,1.702722,142,0.0,0.0,False
21,1.802722,142,0.0,0.0,False
22,1.902722,142,0.0,0.0,False
23,2.003478,142,0.0,0.0,False
24,2.018456,142,0.0,0.0,False
25,2.035356,134,0.0,0.0,False
26,2.051178,134,0.0,0.0,False
27,2.067722,134,0.0,0.0,False
28,2.084522,124,0.0,0.0,False
29,2.101056,112,0.0,0.0,False
30,2.117822,112,0.0,0.0,False
31,2.134878,100,0.0,0.0,False
32,2.151356,90,0.0,0.0,False
33,2.167967,78,0.0,0.0,False
34,2.184678,68,0.0,0.0,False
35,2.201289,56,0.0,0.0,False
36,2.218011,46,0.0,0.0,False
37,2.234944,34,0.0,0.0,False
38,2.251644,24,0.0,0.0,False
39,2.268578,12,0.0,0.0,False
40,2.285089,0,0.0,0.0,False
41,2.300989,296,0.0,0.0,False
42,2.317544,284,0.0,0.0,False
43,2.334311,274,0.0,0.0,False
44,2.350944,262,0.0,0.0,False
45,2.367744,252,0.0,0.0,False
46,2.384633,240,0.0,0.0,False
47,2.401556,230,0.0,0.0,False
48,2.417889,220,0.0,0.0,False
49,2.434633,208,0.0,0.0,False
50,2.451133,198,0.0,0.0,False
51,2.467756,188,0.0,0.0,False
52,2.484678,174,0.0,0.0,False
53,2.501467,162,0.0,0.0,False
54,2.518111,152,0.0,0.0,False
55,2.535122,140,0.0,0.0,False
56,2.551,130,0.0,0.0,False
57,2.568011,118,0.0,0.0,False
58,2.584522,118,0.0,0.0,False
59,2.601078,96,0.0,0.0,False
60,2.6178,84,0.0,0.0,False
61,2.634578,74,0.0,0.0,False
62,2.651156,62,0.0,0.0,False
63,2.668144,52,0.0,0.0,False
64,2.684422,40,0.0,0.0,False
65,2.700911,30,0.0,0.0,False
66,2.717678,18,0.0,0.0,False
67,2.7344,6,0.0,0.0,False
68,2.750956,0,0.0,0.0,False
69,2.767933,290,0.0,0.0,False
70,2.784344,280,0.0,0.0,False
71,2.801467,270,0.0,0.0,False
72,2.817622,258,0.0,0.0,False
73,2.834578,248,0.0,0.0,False
74,2.851156,238,0.0,0.0,False
75,2.867922,224,0.0,0.0,False
76,2.884522,212,0.0,0.0,False
77,2.901011,202,0.0,0.0,False
78,2.917644,190,0.0,0.0,False
79,2.934411,180,0.0,0.0,False
80,2.951033,168,0.0,0.0,False
81,2.967756,158,0.0,0.0,False
82,2.984344,146,0.0,0.0,False
83,3.001189,134,0.0,0.0,False
84,3.018089,124,0.0,0.0,False
85,3.034556,112,0.0,0.0,False
86,3.051144,102,0.0,0.0,False
87,3.068078,90,0.0,0.0,False
88,3.084989,78,0.0,0.0,False
89,3.101378,68,0.0,0.0,False
90,3.118044,58,0.0,0.0,False
91,3.134467,46,0.0,0.0,False
92,3.150911,34,0.0,0.0,False
93,3.167733,24,0.0,0.0,False
94,3.184722,14,0.0,0.0,False
95,3.2011,2,0.0,0.0,False
96,3.217789,296,0.0,0.0,False
97,3.235511,286,0.0,0.0,False
98,3.252789,276,0.0,0.0,False
99,3.268844,266,0.0,0.0,False
100,3.285322,252,0.0,0.0,False
101,3.301967,240,0.0,0.0,False
102,3.318044,230,0.0,0.0,False
103,3.334611,218,0.0,0.0,False
104,3.351189,208,0.0,0.0,False
105,3.367944,196,0.0,0.0,False
106,3.384811,186,0.0,0.0,False
107,3.401122,174,0.0,0.0,False
108,3.417878,164,0.0,0.0,False
109,3.434467,152,0.0,0.0,False
110,3.451333,140,0.0,0.0,False
111,3.468,129,0.0,0.0,False
112,3.484989,118,0.0,0.0,False
113,3.501456,106,0.0,0.0,False
114,3.517878,96,0.0,0.0,False
115,3.534733,84,0.0,0.0,False
116,3.551422,74,0.0,0.0,False
117,3.567978,63,0.0,0.0,False
118,3.584633,52,0.0,0.0,False
119,3.601556,42,0.0,0.0,False
120,3.618122,32,0.0,0.0,False
121,3.634578,20,0.0,0.0,False
122,3.651478,10,0.0,0.0,False
123,3.668244,0,0.0,0.0,False
124,3.684844,292,0.0,0.0,False
125,3.701222,280,0.0,0.0,False
126,3.717978,269,0.0,0.0,False
127,3.734556,258,0.0,0.0,False
128,3.751144,246,0.0,0.0,False
129,3.767844,236,0.0,0.0,False
130,3.784756,224,0.0,0.0,False
131,3.801678,214,0.0,0.0,False
132,3.818089,202,0.0,0.0,False
133,3.834756,192,0.0,0.0,False
134,3.851422,180,0.0,0.0,False
135,3.868067,168,0.0,0.0,False
136,3.884911,158,0.0,0.0,False
137,3.901489,146,0.0,0.0,False
138,3.918011,136,0.0,0.0,False
139,3.934744,124,0.0,0.0,False
140,3.951233,113,0.0,0.0,False
141,3.968511,102,0.0,0.0,False
142,3.985511,90,0.0,0.0,False
143,4.001911,80,0.0,0.0,False
144,4.018878,70,0.0,0.0,False
145,4.036567,58,0.0,0.0,False
146,4.0529,46,0.0,0.0,False
147,4.069633,34,0.0,0.0,False
148,4.086978,24,0.0,0.0,False
149,4.102522,12,0.0,0.0,False
150,4.119056,2,0.0,0.0,False
151,4.135567,296,0.0,0.0,False
152,4.152067,296,0.0,0.0,False
153,4.169356,296,0.0,0.0,False
154,4.186078,296,0.0,0.0,False
155,4.286078,296,0.0,0.0,False
156,4.303911,296,0.0,0.0,False
157,4.403911,296,0.0,0.0,False
158,4.477122,290,0.0,0.0,False
159,4.490167,290,0.0,0.0,False
160,4.503656,280,0.0,0.0,False
161,4.523422,280,0.0,0.0,False
162,4.537533,280,0.0,0.0,False
163,4.553689,268,0.0,0.0,False
164,4.569544,256,0.0,0.0,False
165,4.5894,248,0.0,0.0,False
166,4.603511,232,0.0,0.0,False
167,4.620344,222,0.0,0.0,False
168,4.637167,210,0.0,0.0,False
169,4.652611,200,0.0,0.0,False
170,4.669433,188,0.0,0.0,False
171,4.686289,178,0.0,0.0,False
172,4.702633,168,0.0,0.0,False
173,4.719489,156,0.0,0.0,False
174,4.736589,144,0.0,0.0,False
175,4.7526,132,0.0,0.0,False
176,4.769156,122,0.0,0.0,False
177,4.7858,110,0.0,0.0,False
178,4.802722,100,0.0,0.0,False
179,4.819322,88,0.0,0.0,False
180,4.836489,78,0.0,0.0,False
181,4.853189,67,0.0,0.0,False
182,4.869644,56,0.0,0.0,False
183,4.886156,46,0.0,0.0,False
184,4.9032,36,0.0,0.0,False
185,4.918856,24,0.0,0.0,False
186,4.935767,12,0.0,0.0,False
187,4.952389,0,0.0,0.0,False
188,4.969289,294,0.0,0.0,False
189,4.985922,284,0.0,0.0,False
190,5.002478,272,0.0,0.0,False
191,5.019144,262,0.0,0.0,False
192,5.035722,250,0.0,0.0,False
