frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
0,0.0,142,0.0,0.0,False
1,0.1,142,0.0,0.0,False
2,0.114644,142,0.0,0.0,False
3,0.214644,142,0.0,0.0,False
4,0.314644,142,0.0,0.0,False
5,0.414644,142,0.0,0.0,False
6,0.514644,142,0.0,0.0,False
7,0.614644,142,0.0,0.0,False
8,0.714644,142,0.0,0.0,False
9,0.814644,142,0.0,0.0,False
10,0.914644,142,0.0,0.0,False
11,1.014644,142,0.0,0.0,False
12,1.114644,142,0.0,0.0,False
13,1.443489,142,0.0,0.0,False
14,1.543489,142,0.0,0.0,False
15,1.559533,142,0.0,0.0,False
16,1.659533,142,0.0,0.0,False
17,1.759533,142,0.0,0.0,False
18,1.859533,142,0.0,0.0,False
19,1.959533,142,0.0,0.0,False
20,2.059533,142,0.0,0.0,False
21,2.158756,142,0.0,0.0,False
22,2.174,142,0.0,0.0,False
23,2.190144,138,0.0,0.0,False
24,2.206689,138,0.0,0.0,False
25,2.232444,138,0.0,0.0,False
26,2.240989,126,0.0,0.0,False
27,2.257167,116,0.0,0.0,False
28,2.273744,106,0.0,0.0,False
29,2.291067,94,0.0,0.0,False
30,2.307478,84,0.0,0.0,False
31,2.323967,72,0.0,0.0,False
32,2.341067,62,0.0,0.0,False
33,2.3572,48,0.0,0.0,False
34,2.373789,38,0.0,0.0,False
35,2.390933,26,0.0,0.0,False
36,2.407389,16,0.0,0.0,False
37,2.423711,4,0.0,0.0,False
38,2.440189,300,0.0,0.0,False
39,2.457544,287,0.0,0.0,False
40,2.4738,276,0.0,0.0,False
41,2.4905,266,0.0,0.0,False
42,2.506111,254,0.0,0.0,False
43,2.5226,244,0.0,0.0,False
44,2.539433,232,0.0,0.0,False
45,2.5559,222,0.0,0.0,False
46,2.573044,210,0.0,0.0,False
47,2.589656,198,0.0,0.0,False
48,2.605967,188,0.0,0.0,False
49,2.623278,176,0.0,0.0,False
50,2.639244,166,0.0,0.0,False
51,2.656144,156,0.0,0.0,False
52,2.6729,144,0.0,0.0,False
53,2.689356,134,0.0,0.0,False
54,2.706256,124,0.0,0.0,False
55,2.722833,112,0.0,0.0,False
56,2.739289,98,0.0,0.0,False
57,2.756067,88,0.0,0.0,False
58,2.773067,76,0.0,0.0,False
59,2.789467,66,0.0,0.0,False
60,2.806067,54,0.0,0.0,False
61,2.822789,44,0.0,0.0,False
62,2.842489,32,0.0,0.0,False
63,2.857933,20,0.0,0.0,False
64,2.872978,10,0.0,0.0,False
65,2.8896,0,0.0,0.0,False
66,2.906422,294,0.0,0.0,False
67,2.922967,284,0.0,0.0,False
68,2.9397,272,0.0,0.0,False
69,2.956722,260,0.0,0.0,False
70,2.9733,250,0.0,0.0,False
71,2.989989,238,0.0,0.0,False
72,3.006578,226,0.0,0.0,False
73,3.0233,216,0.0,0.0,False
74,3.040856,206,0.0,0.0,False
75,3.056533,194,0.0,0.0,False
76,3.073156,184,0.0,0.0,False
77,3.089744,174,0.0,0.0,False
78,3.106389,174,0.0,0.0,False
79,3.123367,148,0.0,0.0,False
80,3.1398,138,0.0,0.0,False
81,3.1567,126,0.0,0.0,False
82,3.173367,116,0.0,0.0,False
83,3.189656,104,0.0,0.0,False
84,3.206144,94,0.0,0.0,False
85,3.2227,82,0.0,0.0,False
86,3.239511,72,0.0,0.0,False
87,3.256933,60,0.0,0.0,False
88,3.273178,50,0.0,0.0,False
89,3.289644,38,0.0,0.0,False
90,3.306433,26,0.0,0.0,False
91,3.322889,16,0.0,0.0,False
92,3.339511,4,0.0,0.0,False
93,3.356233,300,0.0,0.0,False
94,3.373156,288,0.0,0.0,False
95,3.389544,278,0.0,0.0,False
96,3.406356,266,0.0,0.0,False
97,3.422789,256,0.0,0.0,False
98,3.439633,244,0.0,0.0,False
99,3.456578,234,0.0,0.0,False
100,3.473,224,0.0,0.0,False
101,3.490444,212,0.0,0.0,False
102,3.506956,202,0.0,0.0,False
103,3.522944,188,0.0,0.0,False
104,3.539733,176,0.0,0.0,False
105,3.556344,166,0.0,0.0,False
106,3.573067,156,0.0,0.0,False
107,3.589956,144,0.0,0.0,False
108,3.606322,132,0.0,0.0,False
109,3.623189,120,0.0,0.0,False
110,3.639733,110,0.0,0.0,False
111,3.656511,100,0.0,0.0,False
112,3.673156,88,0.0,0.0,False
113,3.689967,76,0.0,0.0,False
114,3.706556,66,0.0,0.0,False
115,3.723111,54,0.0,0.0,False
116,3.740011,43,0.0,0.0,False
117,3.7566,32,0.0,0.0,False
118,3.7731,21,0.0,0.0,False
119,3.789856,10,0.0,0.0,False
120,3.806544,0,0.0,0.0,False
121,3.823211,294,0.0,0.0,False
122,3.840211,283,0.0,0.0,False
123,3.856756,272,0.0,0.0,False
124,3.873433,262,0.0,0.0,False
125,3.889978,252,0.0,0.0,False
126,3.906689,241,0.0,0.0,False
127,3.9232,227,0.0,0.0,False
128,3.9401,216,0.0,0.0,False
129,3.957078,206,0.0,0.0,False
130,3.973433,194,0.0,0.0,False
131,3.989956,182,0.0,0.0,False
132,4.006789,170,0.0,0.0,False
133,4.023244,160,0.0,0.0,False
134,4.040244,150,0.0,0.0,False
135,4.056722,138,0.0,0.0,False
136,4.073433,126,0.0,0.0,False
137,4.090022,116,0.0,0.0,False
138,4.106856,104,0.0,0.0,False
139,4.123411,94,0.0,0.0,False
140,4.140233,82,0.0,0.0,False
141,4.157111,70,0.0,0.0,False
142,4.173756,60,0.0,0.0,False
143,4.190078,48,0.0,0.0,False
144,4.206822,38,0.0,0.0,False
145,4.223989,26,0.0,0.0,False
146,4.240011,16,0.0,0.0,False
147,4.256767,6,0.0,0.0,False
148,4.273522,296,0.0,0.0,False
149,4.290244,296,0.0,0.0,False
150,4.3076,296,0.0,0.0,False
151,4.4076,296,0.0,0.0,False
152,4.424522,296,0.0,0.0,False
153,4.441667,296,0.0,0.0,False
154,4.541667,296,0.0,0.0,False
155,4.557889,296,0.0,0.0,False
156,4.631178,290,0.0,0.0,False
157,4.641356,290,0.0,0.0,False
158,4.657522,280,0.0,0.0,False
159,4.674456,280,0.0,0.0,False
160,4.690667,280,0.0,0.0,False
161,4.7075,268,0.0,0.0,False
162,4.725111,259,0.0,0.0,False
163,4.742133,248,0.0,0.0,False
164,4.758556,236,0.0,0.0,False
165,4.774978,226,0.0,0.0,False
166,4.791067,216,0.0,0.0,False
167,4.807633,202,0.0,0.0,False
168,4.824144,191,0.0,0.0,False
169,4.8415,180,0.0,0.0,False
170,4.857822,158,0.0,0.0,False
171,4.8748,158,0.0,0.0,False
172,4.891422,146,0.0,0.0,False
173,4.907911,134,0.0,0.0,False
174,4.924456,124,0.0,0.0,False
175,4.940944,112,0.0,0.0,False
176,4.9579,102,0.0,0.0,False
177,4.974844,90,0.0,0.0,False
178,4.991556,80,0.0,0.0,False
179,5.008156,70,0.0,0.0,False
180,5.024156,58,0.0,0.0,False
181,5.040278,46,0.0,0.0,False
182,5.057033,34,0.0,0.0,False
183,5.073256,24,0.0,0.0,False
184,5.090256,12,0.0,0.0,False
185,5.106856,2,0.0,0.0,False
186,5.1236,298,0.0,0.0,False
187,5.1404,286,0.0,0.0,False
188,5.157233,276,0.0,0.0,False
189,5.174289,266,0.0,0.0,False
190,5.190667,252,0.0,0.0,False
191,5.206844,240,0.0,0.0,False
192,5.223567,230,0.0,0.0,False
